WMO Region Symbol	Country Name	Institution Type Symbol	Institution Name	Role Symbol	Author Name	AR	Total
AFR	Sudan	GA	High Council for Environment and Natural Resources (HCENR)	LA	Balgis Osman-Elasha	AR4	1
AFR	Sudan	GA	High Council for Environment and Natural Resources (HCENR)	RE	Ismail Elgizouli	AR4	1
AFR	Sudan	GA	High Council for Environment and Natural Resources (HCENR)	RE	Ismail Elgizouli	AR5	1
AFR	Sudan	HEI	University of Khartoum	LA	Mohammed Abdelrafie Ahmed	AR4	1
AFR	Sudan	HEI	University of Khartoum	LA	Elnour Abdalla Elsiddig	AR4	1
AFR	Sudan	HEI	University of Khartoum	LA	Elnour Abdalla Elsiddig	AR5	1
AFR	Sudan	HEI	University of Khartoum	LA	Hassan Bashir Nimir	AR4	1
AFR	Sudan	HEI	University of Khartoum	LA	Hassan Bashir Nimir	AR5	1
AFR	Sudan	HEI	University of Khartoum	LA	Sumaya Zakieldeen	AR5	1
AFR	Sudan	INT	African Development Bank	LA	Balgis Osman-Elasha	AR5	1
AFR	Sudan	N/A	N/A	RE	Mohamed Salih	AR4	1
AFR	Sudan	N/A	Private Sector Consultant	RE	Nadir Mohamed Awad Suliman	AR5	1
AFR	Sudan	PRO	Forest National Corporation	LA	H. Abdel Nour	AR1	1
AFR	Swaziland	N/A	N/A	LA	Mxolisi Shongwe	AR5	1
AFR	Swaziland	N/A	N/A	CA	Mxolisi Shongwe	AR5	1
AFR	Tanzania	GA	Directorate of Meteorology	LA	B.S. Nyenzi	AR1	1
AFR	Tanzania	GA	Ministry of Water Energy and Minerals	CA	D.G. Rutashobya	AR2	1
AFR	Tanzania	HEI	Ardhi University	LA	Robert B.R. Kiunsi	AR5	1
AFR	Tanzania	HEI	Sokoine University of Agriculture	LA	Joseph P. Hella	AR5	1
AFR	Tanzania	HEI	Sokoine University of Agriculture	LA	Emmanuel Nzunda	AR5	1
AFR	Tanzania	HEI	Sokoine University of Agriculture	LA	Anuradha Ramaswami	AR5	1
AFR	Tanzania	HEI	University of Dar-es-Salaam	LA	J. Katima	AR3	1
AFR	Tanzania	HEI	University of Dar-es-Salaam	LA	Shadrack S. Mwakalila	AR5	1
AFR	Tanzania	HEI	University of Dar-es-Salaam	LA	Pius Yanda	AR4	1
AFR	Tanzania	N/A	N/A	LA	W.R. Makundi	AR2	1
AFR	Tanzania	N/A	N/A	LA	W. Yambi	AR2	1
AFR	Tanzania	NGO	Center for Energy,Environment,Science and Technology	CLA	M.J. Mwandosya	AR3	1
AFR	The Gambia	GA	Department of Water Resources	CLA	Bubu Pateh Jallow	AR3	1
AFR	The Gambia	GA	Department of Water Resources	LA	Bubu Pateh Jallow	AR3	3
AFR	The Gambia	GA	Department of Water Resources	RE	Bubu Pateh Jallow	AR4	2
AFR	The Gambia	INDV	Independent Consultant	CLA	Fatima Denton	AR5	1
AFR	The Gambia	INDV	Independent Consultant	LA	Fatima Denton	AR5	1
AFR	The Gambia	N/A	N/A	CA	Fatou Gaye	AR5	1
AFR	The Gambia	N/A	N/A	CA	Sirra Njai	AR5	1
AFR	The Gambia	N/A	N/A	CA	Sidat Yaffa	AR5	1
AFR	Tunisia	GA	Ministry of Agriculture,Water Resources and Fisheries	RE	Habib Amamou	AR5	1
AFR	Tunisia	INT	Sahara and Sahel Observatory (OSS) Tunis	LA	Youba Sokona	AR4	1
AFR	Tunisia	N/A	N/A	LA	Jaafar Friaa	AR2	1
AFR	Tunisia	N/A	N/A	CA	Mohammed Chahed	AR5	1
AFR	Uganda	HEI	Makerere University	LA	Charles Basalirwa	AR3	1
AFR	Uganda	HEI	Makerere University	LA	Shuaib Lwasa	AR5	1
AFR	Uganda	HEI	Makerere University	LA	J.K.E. Mubazi	AR2	1
AFR	Zambia	GA	National Institute for Scientific and Industrial Research	RE	Alick Muvundika	AR5	1
AFR	Zambia	GA	Zambia Meteorological Department	LA	Joseph Katongo Kanyanga	AR5	1
AFR	Zambia	GA	Zambia Meteorological Department	LA	R.K. Mugara	AR3	1
AFR	Zambia	HEI	University of Zambia	LA	Kabumbwe Hansingo	AR5	1
AFR	Zambia	HEI	University of Zambia	LA	Suman Jain	AR5	1
AFR	Zambia	HEI	University of Zambia	LA	Francis D. Yamba	AR3	1
AFR	Zambia	HEI	University of Zambia	LA	Francis D. Yamba	AR4	1
AFR	Zambia	N/A	Africa Carbon Credit Exchange	LA	Lloyd Chingambo	AR5	1
AFR	Zimbabwe	COMP	Southern Center for Energy and Environment	LA	R.S. Maya	AR2	1
AFR	Zimbabwe	GA	Zimbabwe Drought Monitoring Centre	LA	B.S. Nyenzi	AR3	1
AFR	Zimbabwe	GA	Zimbabwe Drought Monitoring Centre	RE	B.S. Nyenzi	AR3	2
AFR	Zimbabwe	GA	Zimbabwe Meteorological Services	LA	M.C. Zinyowera	AR2	1
AFR	Zimbabwe	HEI	University of Zimbabwe	CLA	Christopher H.D. Magadza	AR3	1
AFR	Zimbabwe	HEI	University of Zimbabwe	LA	Donald Chimanikire	AR5	1
AFR	Zimbabwe	HEI	University of Zimbabwe	LA	Christopher H.D. Magadza	AR2	1
AFR	Zimbabwe	HEI	University of Zimbabwe	LA	Christopher H.D. Magadza	AR3	2
AFR	Zimbabwe	HEI	University of Zimbabwe	LA	Christopher H.D. Magadza	AR4	1
AFR	Zimbabwe	HEI	University of Zimbabwe	CA	Christopher H.D. Magadza	AR2	1
AFR	Zimbabwe	INT	United Nations Development Programme (UNDP)	CLA	Muyeye Chambwera	AR5	1
AFR	Zimbabwe	N/A	N/A	LA	J. Dutoit	AR2	1
AFR	Zimbabwe	N/A	N/A	CA	R. Karimanzira	AR1	1
AFR	Zimbabwe	N/A	N/A	CA	Mzime R. Ndebele-Murisa	AR5	1
ASI	Bangladesh	FND	Bangladesh Centre for Advanced Studies (BCAS)	LA	Mozaharul Alam	AR4	1
ASI	Bangladesh	FND	Bangladesh Centre for Advanced Studies (BCAS)	LA	Atiq Rahman	AR3	1
ASI	Bangladesh	FND	Bangladesh Centre for Advanced Studies (BCAS)	LA	Atiq Rahman	AR4	1
ASI	Bangladesh	FND	Bangladesh Unnayan Parishad (BUP)	CLA	Qazi Z. Ahmad	AR3	1
ASI	Bangladesh	FND	Bangladesh Unnayan Parishad (BUP)	LA	Qazi Z. Ahmad	AR3	2
ASI	Bangladesh	FND	Bangladesh Unnayan Parishad (BUP)	LA	Qazi Z. Ahmad	AR4	1
ASI	Bangladesh	HEI	North South University	LA	Mizan R. Khan	AR5	1
ASI	Bangladesh	HEI	University of Chittagong	LA	Sirajul Islam	AR4	1
ASI	Bangladesh	INT	International Institute for Environment and Development (IIED)	CLA	Saleemul Huq	AR5	1
ASI	Bangladesh	INT	International Institute for Environment and Development (IIED)	LA	Saleemul Huq	AR3	2
ASI	Bangladesh	INT	United Nations Environment Programme (UNEP)	LA	Mozaharul Alam	AR5	1
ASI	Bangladesh	N/A	Bright Green Energy Foundation	LA	Dipal Chandra Barua	AR5	1
ASI	Bangladesh	N/A	N/A	CA	Rawshan Ara Begum	AR5	1
ASI	Bangladesh	PRO	Bangladesh Institute of Development Studies (BIDS)	LA	M. Asaduzzaman	AR2	1
ASI	China	AS	Agro-environment and Sustainable Development Institute	CLA	Erda Lin	AR5	1
ASI	China	AS	Agro-environment and Sustainable Development Institute	LA	Erda Lin	AR5	1
ASI	China	AS	Agrometeorology Institute	LA	Erda Lin	AR2	4
ASI	China	AS	Agrometeorology Institute	LA	Erda Lin	AR3	2
ASI	China	AS	China Academy of Building Research	LA	Siwei Lang	AR4	1
ASI	China	AS	Chinese Academy of Agricultural Science	LA	Erda Lin	AR4	1
ASI	China	AS	Chinese Academy of Agricultural Science	CA	Hui Ju	AR3	1
ASI	China	AS	Chinese Academy of Agricultural Science	CA	Hui Ju	AR4	1
ASI	China	AS	Chinese Academy of Forestry	LA	Xu Deying	AR2	2
ASI	China	AS	Chinese Academy of Forestry	CA	Xu Deying	AR2	1
ASI	China	AS	Chinese Academy of Sciences	CLA	Jiawen Ren	AR4	1
ASI	China	AS	Chinese Academy of Sciences	CLA	Shaohong Wu	AR4	1
ASI	China	AS	Chinese Academy of Sciences	CLA	Q.-C. Zeng	AR1	1
ASI	China	AS	Chinese Academy of Sciences	LA	Richard Corlett	AR5	1
ASI	China	AS	Chinese Academy of Sciences	LA	Ye Duzheng	AR1	1
ASI	China	AS	Chinese Academy of Sciences	LA	Congbin Fu	AR1	1
ASI	China	AS	Chinese Academy of Sciences	LA	Congbin Fu	AR3	1
ASI	China	AS	Chinese Academy of Sciences	LA	Yong Geng	AR5	1
ASI	China	AS	Chinese Academy of Sciences	LA	He-Qing Huang	AR5	1
ASI	China	AS	Chinese Academy of Sciences	LA	Hong Liao	AR5	1
ASI	China	AS	Chinese Academy of Sciences	LA	Dahe Qin	AR3	1
ASI	China	AS	Chinese Academy of Sciences	LA	Jiawen Ren	AR4	2
ASI	China	AS	Chinese Academy of Sciences	LA	Jiawen Ren	AR5	1
ASI	China	AS	Chinese Academy of Sciences	LA	Xuemei Shao	AR5	1
ASI	China	AS	Chinese Academy of Sciences	LA	G.Y. Shi	AR1	1
ASI	China	AS	Chinese Academy of Sciences	LA	G.Y. Shi	AR3	1
ASI	China	AS	Chinese Academy of Sciences	LA	W. Su	AR1	1
ASI	China	AS	Chinese Academy of Sciences	LA	Fan Wang	AR5	1
